Item,pret [ron],unitate,pret [ron],furnizor,link,minim,pret [ron],furnizor,link,minim,pret [ron],furnizor,link,minim
pal,335,coala,335,proficut,PAL MEL Stejar Bardolino Gri H1146,0.5,,,,,,,,
blat,137,m,137,proficut,BLAT BUC SONOMA Deschis Kaindl + debitare (20 RON/blat = 5 RON/m)),2,,,,,,,,
pfl,85,coala,75,proficut,HDF ALB + debitare,0.5,,,,,,,,
front,324,m2,324,protege parol,54EUR + TVA,1,,,,,,,,
cant04,3.43,m,3.43,proficut,ABS0422A,,,,,,,,,
cant2,6.98,m,6.98,proficut,ABS222A,,,,,,,,,
surub,0.08999,bucata,0.08999,feroshop,https://www.feroshop.ro/suruburi-lemn/surub-cuplare-cap-inecat-7-0x50-za-sw4,1000,,,,,,,,
plinta,13.5375,m,13.5375,regency company,https://regencycompany.ro/inalatoare-si-plinte/plinta-din-plastic-folie-al-neted-h-100-39-ml.html,4,,,,,,,,
picioare,1.25,bucata,1.25,ProfiCut,https://www.feroshop.ro/picioare/picior-plastic-negru-reglabil-h-100mm-volpato (FeroShop 1.19),1,,,,,,,,
clema plinta,0.7,bucata,0.7,ProfiCut,"https://regencycompany.ro/inalatoare-si-plinte/brida-prindere-pentru-plinta.html (Regency 0,33)",1,,,,,,,,
surub 3.5x16,0.0259,bucata,0.0259,regency company,https://regencycompany.ro/elemente-imbinare/holtzsurub-35x16.html,100,,,,,,,,
bolt polita,0.0384,bucata,0.0384,regency company,https://regencycompany.ro/suporturi-polite/suport-din-metal-cu-inel-pentru-polita.html,100,,,,,,,,
surub PFL,0.0259,bucata,0.0259,regency company,https://regencycompany.ro/elemente-imbinare/holtzsurub-25x20.html,100,,,,,,,,
sipca apa,10.0825,m,10.0825,regency company,https://regencycompany.ro/inalatoare-si-plinte/inaltator-triunghiular-din-pvc-argintiu-cu-striatii-39ml.html,4,,,,,,,,
surub intre corpuri,0.0259,bucata,0.0259,regency company,https://regencycompany.ro/elemente-imbinare/holtzsurub-35x16.html,100,,,,,,,,
pereche clema prindere perete,9.8,pereche,9.8,ProfiCut,https://regencycompany.ro/suporturi-corpuri-suspendate/agatatori-blum-48n0510-pt-corpuri-suspendate-dreapta-alb.html (Regency 11.94),1,,,,,,,,
sina perete,10.1,m,10.1,ProfiCut,"https://regencycompany.ro/suporturi-corpuri-suspendate/sina-corp-suspendat-2ml.html (Regency 5,08)",2,,,,,,,,
surub diblu perete,2.39,bucata,2.39,dedeman,https://www.dedeman.ro/ro/diblu-universal-din-nylon-10-x-100-mm-friulsider-tup-cu-surub-cap-hexagonal-7-x-105-mm/p/6015316,1,,,,,,,,
balama aplicata,7.2,bucata,7.2,ProfiCut,"https://regencycompany.ro/balamale/balama-blum-modul-aplicata-91m2550.html, https://regencycompany.ro/balamale/placuta-balama-blum-193l6100.html (Regency 3,86)
",1,,,,,,,,
balama aplicata cu amortizor,15.05,bucata,15.05,Proficut,https://regencycompany.ro/balamale/balama-clip-top-cu-blumotion-incorporat-pentru-usa-aplicata-71b3550.html (Regency 14.7),1,,,,,,,,
balama usa franta,22.4,bucata,22.4,ProfiCut,MAM bricolaj 16.88,,,,,,,,,
balama 170 deg,17.2,bucata,17.2,ProfiCut,Viking Tools (eMAG) 15.47,,,,,,,,,
amortizor,7.74,bucata,7.74,regency company,https://regencycompany.ro/balamale/blumotion-balama-aplicata-973a050001.html,1,,,,,,,,
maner,10,bucata,10,generic,,1,,,,,,,,
surub blat,0.0259,bucata,0.0259,regency company,https://regencycompany.ro/elemente-imbinare/holtzsurub-35x16.html,100,,,,,,,,
pereche glisiera 450 mm,19,pereche,19,regency company,https://regencycompany.ro/glisiere-cu-role/glisiera-blum-maro-cu-rola-230m4500.html,1,22.88,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-45mm-l450-.html,1,37.48,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-cu-amortizare-45mml450-.html,1
pereche glisiera 500 mm,19.58,pereche,19.58,regency company,https://regencycompany.ro/glisiere-cu-role/glisiera-blum-maro-cu-rola-230m5000.html,1,25.42,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-45mml500--.html,1,39.93,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-cu-amortizare-45mml500.html,1
pereche glisiera 550 mm,22.71,pereche,22.71,regency company,https://regencycompany.ro/glisiere-cu-role/glisiera-blum-maro-cu-rola-230m5500.html,1,30.45,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-45mm-l550.html,1,,,,
pereche glisiera 600 mm,25.86,pereche,25.86,regency company,https://regencycompany.ro/glisiere-cu-role/glisiera-blum-maro-cu-rola-230m6000.html,1,32.95,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-45mm-l600.html,1,,,,
Joly150500,200,bucata,107.76,regency company,https://regencycompany.ro/coloane-si-cosuri/cos-jolly-standard-15x45-culisare-laterala-cu-glisiera-cu-bile-pt-corp-de-200mm-crom.html,1,,,,,,,,
